Manufacturer,VIN,Date,Month,MonthID
Cruise,1G1FX6S08H40259EX,2017-12-04,1,T1
Cruise,1G1FX6S08H40265EX,2017-12-09,1,T1
Cruise,1G1FX6S0XH40283EX,2017-12-15,1,T1
Cruise,1G1FX6S04H40229EX,2017-12-19,1,T1
Cruise,1G1FX6S07H40262EX,2017-12-21,1,T1
Cruise,1G1FX6S0XH40277EX,2018-01-01,2,T2
Cruise,1G1FX6S09H40245EX,2018-01-02,2,T2
Cruise,1G1FX6S02H40252EX,2018-01-11,2,T2
Cruise,1G1FX6S01H40289EX,2018-01-18,2,T2
Cruise,1G1FX6S03H40278EX,2018-01-22,2,T2
Cruise,1G1FX6S05H40244EX,2018-01-22,2,T2
Cruise,1G1FX6S05H40244EX,2018-01-26,2,T2
Cruise,1G1FX6S01H40266EX,2018-01-29,3,T3
Cruise,1G1FX6S03H40249EX,2018-01-31,3,T3
Cruise,1G1FX6S06H40247EX,2018-02-08,3,T3
Cruise,1G1FX6S07H40285EX,2018-02-15,3,T3
Cruise,1G1FX6S05H40273EX,2018-02-20,3,T3
Cruise,1G1FX6S05H40267EX,2018-02-21,3,T3
Cruise,1G1FX6S05H40267EX,2018-02-27,3,T3
Cruise,1G1FX6S07H40204EX,2018-02-28,3,T3
Cruise,1G1FX6S07H40198EX,2018-03-02,4,T4
Cruise,1G1FX6S07H40204EX,2018-03-06,4,T4
Cruise,1G1FX6S0XH40254EX,2018-03-14,4,T4
Cruise,1G1FX6S03H40249EX,2018-03-20,4,T4
Cruise,1G1FX6S05H40209EX,2018-03-23,4,T4
Cruise,1G1FX6S00H40228EX,2018-04-06,5,T5
Cruise,1G1FX6S00H40263EX,2018-04-07,5,T5
Cruise,1G1FX6S07H40227EX,2018-04-11,5,T5
Cruise,1G1FX6S07H40227EX,2018-04-20,5,T5
Cruise,1G1FX6S02H40275EX,2018-05-17,6,T6
Cruise,1G1FX6S00H40228EX,2018-05-17,6,T6
Cruise,1G1FX6S09H40239EX,2018-05-27,6,T6
Cruise,1G1FX6S05H40209EX,2018-05-29,6,T6
Cruise,1G1FX6S00H40205EX,2018-05-30,6,T6
Cruise,1G1FX6S02H40281EX,2018-05-30,6,T6
Cruise,1G1FX6S05H40221EX,2018-06-08,7,T7
Cruise,1G1FX6S07H40198EX,2018-06-09,7,T7
Cruise,1G1FX6S09H40239EX,2018-06-11,7,T7
Cruise,1G1FX6S01H40289EX,2018-06-13,7,T7
Cruise,1G1FX6S09H40245EX,2018-06-13,7,T7
Cruise,1G1FX6S05H40244EX,2018-06-28,7,T7
Cruise,1G1FX6S07H40279EX,2018-06-28,7,T7
Cruise,1G1FX6S09H40245EX,2018-06-29,7,T7
Cruise,1G1FX6S06H40276EX,2018-07-06,8,T8
Cruise,1G1FX6S09H40222EX,2018-07-07,8,T8
Cruise,1G1FX6S08H40259EX,2018-07-11,8,T8
Cruise,1G1FX6S00H40228EX,2018-07-12,8,T8
Cruise,1G1FX6S05H40238EX,2018-07-12,8,T8
Cruise,1G1FX6S01H40208EX,2018-07-13,8,T8
Cruise,1G1FX6S02H40223EX,2018-07-18,8,T8
Cruise,1G1FX6S04H40258EX,2018-07-19,8,T8
Cruise,1G1FX6S04H40206EX,2018-07-23,8,T8
Cruise,1G1FX6S05H40209EX,2018-07-26,8,T8
Cruise,1G1FX6S09H40239EX,2018-08-01,9,T9
Cruise,1G1FX6S07H40210EX,2018-08-08,9,T9
Cruise,1G1FX6S05H40221EX,2018-08-08,9,T9
Cruise,1G1FX6S0XH40260EX,2018-08-08,9,T9
Cruise,1G1FX6S03H40249EX,2018-08-08,9,T9
Cruise,1G1FX6S02H40275EX,2018-08-11,9,T9
Cruise,1G1FX6S08H40265EX,2018-08-13,9,T9
Cruise,1G1FX6S02H40269EX,2018-08-14,9,T9
Cruise,1G1FX6S07H40198EX,2018-08-15,9,T9
Cruise,1G1FX6S07H40210EX,2018-08-22,9,T9
Cruise,1G1FX6S07H40227EX,2018-08-22,9,T9
Cruise,5G21A6S04K40064EX,2018-09-01,10,T10
Cruise,5G21A6S06K40047EX,2018-09-09,10,T10
Cruise,5G21A6S08K40094EX,2018-10-02,11,T11
Cruise,5G21A6S03K40113EX,2018-10-03,11,T11
Cruise,5G21A6S01K40118EX,2018-10-12,11,T11
Cruise,5G21A6S03K40113EX,2018-10-18,11,T11
Cruise,5G21A6S02K40075EX,2018-10-19,11,T11
Cruise,5G21A6S06K40053EX,2018-10-25,11,T11
Cruise,5G21A6S00K40121EX,2018-10-27,11,T11
Cruise,5G21A6S07K40079EX,2018-10-28,11,T11
Cruise,5G21A6S07K40091EX,2018-11-01,12,T12
Cruise,5G21A6S09K40080EX,2018-11-03,12,T12
Cruise,5G21A6S09K40039EX,2018-11-05,12,T12
Cruise,5G21A6S06K40053EX,2018-11-06,12,T12
Cruise,5G21A6S02K40110EX,2018-11-07,12,T12
Cruise,5G21A6S06K40082EX,2018-11-13,12,T12
Cruise,5G21A6S04K40116EX,2018-11-14,12,T12
Cruise,5G21A6S03K40090EX,2018-11-15,12,T12
Cruise,5G21A6S04K40064EX,2018-11-15,12,T12
Cruise,5G21A6S01K40089EX,2018-11-16,12,T12
Cruise,5G21A6S05K40067EX,2018-11-28,12,T12
Cruise,5G21A6S03K40049EX,2018-11-29,12,T12
Cruise,5G21A6S05K40050EX,2018-12-05,13,T13
Cruise,5G21A6S00K40109EX,2018-12-11,13,T13
Cruise,5G21A6S0XK40025EX,2019-01-07,14,T14
Cruise,5G21A6S02K40052EX,2019-01-09,14,T14
Cruise,5G21A6S00K40086EX,2019-01-11,14,T14
Cruise,5G21A6S03K40113EX,2019-01-14,14,T14
Cruise,5G21A6S02L40029EX,2019-01-15,14,T14
Cruise,5G21A6S0XK40060EX,2019-01-18,14,T14
Cruise,5G21A6S05K40102EX,2019-01-18,14,T14
Cruise,5G21A6S07K40085EX,2019-01-19,14,T14
Cruise,5G21A6S04K40116EX,2019-01-26,14,T14
Cruise,5G21A6S08K40071EX,2019-01-26,14,T14
Cruise,5G21A6S08K40094EX,2019-02-07,15,T15
Cruise,5G21A6S00K40034EX,2019-02-07,15,T15
Cruise,5G21A6S00K40034EX,2019-02-07,15,T15
Cruise,5G21A6S02K40098EX,2019-02-10,15,T15
Cruise,5G21A6S08K40065EX,2019-02-11,15,T15
Cruise,5G21A6S02K40075EX,2019-02-22,15,T15
Cruise,5G21A6S03K40084EX,2019-02-22,15,T15
Cruise,5G21A6S00K40121EX,2019-02-26,15,T15
Cruise,5G21A6S0XK40112EX,2019-03-05,16,T16
Cruise,5G21A6S07K40120EX,2019-03-27,16,T16
Cruise,5G21A6S03K40090EX,2019-03-28,16,T16
Cruise,5G21A6S03K40084EX,2019-04-07,17,T17
Cruise,5G21A6S06K40111EX,2019-04-10,17,T17
Cruise,5G21A6S01K40072EX,2019-04-11,17,T17
Cruise,5G21A6S0XK40060EX,2019-04-12,17,T17
Cruise,5G21A6S00K40121EX,2019-04-12,17,T17
Cruise,5G21A6S01K40089EX,2019-04-13,17,T17
Cruise,5G21A6S0XK40060EX,2019-04-15,17,T17
Cruise,5G21A6S05K40073EX,2019-04-19,17,T17
Cruise,5G21A6S04K40122EX,2019-04-20,17,T17
Cruise,5G21A6S07K40114EX,2019-04-22,17,T17
Cruise,5G21A6S08K40100EX,2019-04-23,17,T17
Cruise,5G21A6S0XK40083EX,2019-04-24,17,T17
Cruise,5G21A6S04K40122EX,2019-04-29,17,T17
Cruise,5G21A6S01K40095EX,2019-04-30,17,T17
Cruise,5G21A6S01K40095EX,2019-05-06,18,T18
Cruise,5G21A6S0XK40083EX,2019-05-09,18,T18
Cruise,5G21A6P05L4100017,2019-05-10,18,T18
Cruise,5G21A6S05K40119EX,2019-05-13,18,T18
Cruise,5G21A6S05K40119EX,2019-05-13,18,T18
Cruise,5G21A6S0XK40031EX,2019-05-24,18,T18
Cruise,5G21A6S02K40110EX,2019-06-04,19,T19
Cruise,5G21A6S03K40078EX,2019-06-19,19,T19
Cruise,5G21A6P05L4100048,2019-06-28,19,T19
Cruise,5G21A6P01L4100032,2019-07-05,20,T20
Cruise,5G21A6P01L4100046,2019-07-11,20,T20
Cruise,5G21A6P09L4100070,2019-07-18,20,T20
Cruise,5G21A6P00L4100040,2019-07-25,20,T20
Cruise,5G21A6S05K40102EX,2019-07-29,20,T20
Cruise,5G21A6P08L4100075,2019-08-18,21,T21
Cruise,5G21A6P02L4100167,2019-08-19,21,T21
Cruise,5G21A6P08L4100187,2019-09-10,22,T22
Cruise,5G21A6P03L4100047,2019-09-25,22,T22
Cruise,5G21A6P05L4100132,2019-09-26,22,T22
Cruise,5G21A6P02L4100041,2019-09-28,22,T22
Cruise,5G21A6P00L4100118,2019-10-01,23,T23
Cruise,5G21A6P09L4100103,2019-10-06,23,T23
Cruise,5G21A6P0XL4100126,2019-10-13,23,T23
Cruise,5G21A6P00L4100135,2019-10-23,23,T23
Cruise,5G21A6P08L4100058,2019-10-26,23,T23
Cruise,5G21A6P09L4100084,2019-11-01,24,T24
Cruise,5G21A6P01L4100029,2019-11-08,24,T24
Cruise,5G21A6P07L4100049,2019-11-09,24,T24
Cruise,5G21A6P09L4100084,2019-11-19,24,T24
Cruise,5G21A6P06L4100124,2019-11-23,24,T24
Cruise,5G21A6P09L4100084,2019-11-27,24,T24
PonyAI,3LN6L5LU6HR626768,2018-01-05,2,T2
PonyAI,3LN6L5LU6HR626768,2018-02-15,3,T3
PonyAI,3LN6L5LU6HR626768,2018-02-23,3,T3
PonyAI,3LN6L5LU5JR601477,2018-02-28,3,T3
PonyAI,3LN6L5LU6HR626768,2018-03-02,4,T4
PonyAI,3LN6L5LU5JR601477,2018-03-02,4,T4
PonyAI,3LN6L5LU5JR601477,2018-03-05,4,T4
PonyAI,3LN6L5LU6HR626768,2018-03-27,4,T4
PonyAI,3LN6L5LU5JR601477,2018-03-29,4,T4
PonyAI,3LN6L5LU5JR601477,2018-04-12,5,T5
PonyAI,3LN6L5LU6HR626768,2018-05-18,6,T6
PonyAI,3LN6L5LU6HR626768,2018-05-24,6,T6
PonyAI,3LN6L5LU6HR626768,2018-05-31,7,T7
PonyAI,3LN6L5LU5JR601477,2018-06-22,7,T7
PonyAI,3LN6L5MU5HR634813,2018-09-25,10,T10
PonyAI,3LN6L5MUOJR608710,2018-11-26,12,T12
PonyAI,3LN6L5MU0JR608710,2019-02-22,15,T15
PonyAI,3LN6L5LU5JR601477,2019-02-22,15,T15
PonyAI,3LN6L5LU3JR627494,2019-04-24,17,T17
PonyAI,3LN6L5LU5JR626122,2019-05-28,18,T18
PonyAI,3LN6L5LU3JR627494,2019-06-26,19,T19
PonyAI,3LN6L5LU3JR627494,2019-07-12,20,T20
PonyAI,3LN6L5LU3JR627494,2019-07-19,20,T20
PonyAI,KM8K31AG8JU000075,2019-07-23,20,T20
PonyAI,3LN6L5MU5HR634813,2019-07-30,20,T20
PonyAI,KM8K23AG4KU030836,2019-08-16,21,T21
PonyAI,3LN6L5LU5JR601477,2019-08-21,21,T21
PonyAI,3LN6L5LU5JR601477,2019-08-27,21,T21
PonyAI,KM8K23AG4KU030836,2019-08-30,21,T21
PonyAI,3LN6L5LU6HR626768,2019-08-30,21,T21
PonyAI,3LN6L5LU5JR626122,2019-09-03,22,T22
PonyAI,KM8K23AG9KU030248,2019-10-02,23,T23
PonyAI,KM8K23AG6KU030241,2019-10-03,23,T23
PonyAI,KM8K23AG2KU030916,2019-10-09,23,T23
PonyAI,3LN6L5MU0JR608710,2019-10-15,23,T23
PonyAI,KM8K23AG4KU030822,2019-10-16,23,T23
PonyAI,3LN6L5LU3JR627494,2019-10-24,23,T23
PonyAI,3LN6L5LU5JR626122,2019-10-28,23,T23
PonyAI,KM8K23AG7KU030894,2019-11-01,24,T24
PonyAI,KM8K23AG0KU030901,2019-11-14,24,T24
PonyAI,KM8K23AG4KU030836,2019-11-22,24,T24
PonyAI,KM8K23AG5KU030909,2019-11-23,24,T24
PonyAI,KM8K23AG4KU030822,2019-11-27,24,T24
Waymo,2C4RC1K76HR534698,2017-12-06,1,T1
Waymo,2C4RC1K73HR534691,2017-12-07,1,T1
Waymo,2C4RC1K76HR534703,2017-12-08,1,T1
Waymo,2C4RC1K73HR534691,2018-01-07,2,T2
Waymo,2C4RC1K76HR534703,2018-01-17,2,T2
Waymo,2C4RC1K76HR534698,2018-01-18,2,T2
Waymo,2C4RC1K71HR534690,2018-02-01,3,T3
Waymo,2C4RC1K76HR534703,2018-02-03,3,T3
Waymo,2C4RC1K73HR534691,2018-02-18,3,T3
Waymo,2C4RC1K79HR534663,2018-02-21,3,T3
Waymo,2C4RC1K71HR534642,2018-03-06,4,T4
Waymo,2C4RC1K71HR534690,2018-03-12,4,T4
Waymo,2C4RC1K78HR534699,2018-03-17,4,T4
Waymo,2C4RC1K74HR534666,2018-03-26,4,T4
Waymo,2C4RC1K76HR534698,2018-04-02,5,T5
Waymo,2C4RC1K7XHR534686,2018-04-28,5,T5
Waymo,2C4RC1K76HR797404,2018-05-02,6,T6
Waymo,2C4RC1K7XHR534686,2018-05-03,6,T6
Waymo,2C4RC1K7XHR534686,2018-05-06,6,T6
Waymo,2C4RC1K78HR534704,2018-05-09,6,T6
Waymo,2C4RC1K78HR824232,2018-05-12,6,T6
Waymo,2C4RC1K78HR534704,2018-05-15,6,T6
Waymo,2C4RC1K77HR805493,2018-05-16,6,T6
Waymo,2C4RC1K73HR805510,2018-05-17,6,T6
Waymo,2C4RC1K71HR833838,2018-05-19,6,T6
Waymo,2C4RC1K72HR797318,2018-05-23,6,T6
Waymo,2C4RC1K7XHR534641,2018-05-23,6,T6
Waymo,2C4RC1K74HR797398,2018-05-29,6,T6
Waymo,2C4RC1K7XHR534705,2018-05-31,7,T7
Waymo,2C4RC1K78HR797355,2018-06-01,7,T7
Waymo,2C4RC1K79HR824255,2018-06-11,7,T7
Waymo,2C4RC1K73HR805510,2018-06-16,7,T7
Waymo,2C4RC1K76HR797404,2018-06-16,7,T7
Waymo,2C4RC1K79HR824255,2018-06-25,7,T7
Waymo,2C4RC1K78HR833772,2018-06-25,7,T7
Waymo,2C4RC1K73HR797294,2018-06-28,7,T7
Waymo,2C4RC1K71HR695699,2018-06-29,7,T7
Waymo,2C4RC1K72HR797318,2018-07-02,8,T8
